recipe,bananas,eggs,allpurposeflour,sugar,salt,bakingsoda,vanillaextract,bakingpowder,butter,sour cream,milk,buttermilk,water,wholewheatflour
"Nikki_s-Banana-Bread-Muffins_-Healthy-Recipezaar",4,1,1.5,0,1,1,1,0,0.25,0,0,0,0,0
"Chocolate-Chip-Pecan-Banana-Bread-Recipezaar",1,2,1.5,1,0.25,1,1.5,1,0.5,0,0,0,0,0
"Banana-Bread-Recipezaar_75",3,1,2,1,0.5,0,0,0,0,0,0,0,0.25,0
"Banana-Bread-Recipezaar_76",1,2,1.75,1.5,0.5,1,1,0,0,0,0,0.25,0,0
"Healthy-Banana-Bread-Recipezaar_5",1.5,0,2.5,1.25,1,1,1,0,0,0,0,0.5,0,0
"Banana-Bread-Recipezaar_72",4,2,2,1,1,1,1,1,0,0,0,0,0,0
"Banana-Walnut-Bread-Recipezaar_4",3,4,3.5,3,0.5,2,1,0,0,0,0,0.5,0,0
"Sour-Cream-Banana-Bread-With-Chocolate-Glaze-Food_com-83997",1,2,1.75,1.25,1,1,1,1,3,0.5,0,0,0,0
"Banana-Bread-Recipezaar_78",3,1,1.5,0.5,1,1,0,0,0.25,0,0,0,0,0
"Banana-Walnut-Bread-Recipezaar_3",3,2,1.25,1,0,1,0.5,0,0.5,0,0,0,0,0
"Quick-Banana-Bread-Recipezaar",1,2,0,1,0,0,0,0,0,0,0,0,0,0
"Classic-Banana-Bread-Recipezaar",1,1,2.5,1,1,0,0,3.5,0,0,0.75,0,0,0
"Best-Banana-Bread-Ever_-Seriously_-Food_com-135995",1,1,2,2,1,1,1,1,0.5,0,0,0,0,0
"Quinoa-Banana-Bread_-Regular-Or-Sugar-Free-Recipezaar",2.25,2,0,0,1,1.25,0,0,0.5,0,0,0,0,2
"Insanely-Healthy-Banana-Bread-Recipezaar",2,1,1.5,0,0.5,0.5,0.75,0,0,0,0,0,0,0
"Whole_grain-Zucchini-Banana-Bread-Recipezaar",2,2,0,0.75,0.5,0.5,1,0.5,0,0,0,0,0,0.75
"The-Best-Banana-Bread-_No-Kidding_-Food_com-177705",3,2,2,1,0.25,1,1,0,0,0,0,0,0,0
"Simple-Bisquick-Banana-Bread-Recipezaar",3,2,0,1,0,0,0,0,0,0,0,0,0,0
"Mom_s-Best-Banana-Bread-Recipezaar",1.25,2,1.25,0.666666666667,0.25,0.5,0,0,0.333333333333,0,1.5,0,0,0
"Apple-Banana-Bread-Recipezaar_1",1,2,2,0,0,1,1,1,0.5,3,0,0,0,0
"Banana-Pear-Bread-With-Dates-Recipezaar",2,4,3,1,1,2.5,2,0,1,1,0,0,0,0
"Katy_s-Banana-Bread-Recipezaar",3,1,1.5,0.75,0,0.25,0,1.5,0,0,0,0,0,0
"Awesome-Banana-Bread-Recipezaar",1,2,1.5,1,0.5,1,1,0,0.5,0.5,0,0,0,0
"Blueberry-Banana-Bread-Recipezaar_5",1.5,2,2.5,1.25,1,1,1,0,0.5,0,0,0.5,0,0
"Blueberry-Banana-Bread-Recipezaar_2",1.5,0,2.5,1,1,1,1,0,0,0.5,0,0,0,0
"Banana-Friendship-Bread-Recipezaar",2,3,2,1.5,0.5,0.5,0.5,1.5,0,0,0.5,0,0,0
"Banana-Orange-Nut-Bread-Recipezaar",0.5,3,2.5,0.75,0.75,0,0,4,0,0,0,0,0,0
"Banana-Nut-Bread-Ii-Allrecipes",0.666666666667,2,2.5,1,1,0.5,0,2.5,0,0,0.666666666667,0,0,0
"Tropical-Swirlin_-Spice-Banana-Nut-Bread-Food_com-144889",1,2,0,0,1,0,0,0,2,0,0,0,0,0
"Cardamom-Banana-Bread-With-Pistachios-Recipezaar",1.5,2,2,0,0.5,0.75,0,0,0.25,0,0,0,0,0
"Banana-Bread-1978-Recipezaar",2,2,2,1,0.25,1,0,1,0,0,0,0,0,0
"Banana-Bread-Recipezaar_128",1,2,2,1,0.5,1,0,0.5,0,0,0,0,0,0
"Banana-Bread-Recipezaar_129",3,2,2,0.75,1,1,0,0,0,0,0,0,0,0
"Caramelized-Banana-Raisin-Bread-Pudding-Recipezaar",2,2,0,0,0,0,0,0,1,0,0,0,0,0
"Best_ever-Banana-Bread-Recipezaar_2",2,2,1.75,0,0.5,1,1,0,0,0,0,0.25,0,0
"Best_ever-Banana-Bread-Recipezaar_1",1,2,2,1,0,1,0,0,0.5,0,0,0.5,0,0
"Fat-Free-Banana-Bread-_Vegan_-Food_com-170035",5,0,0,1,0,0.5,1,1,0,0,0,0,0.25,2
"Banana-Bread-Recipezaar_121",2,2,1.5,0.5,1,0.5,0,2,0,0,0,0,0,0
"Banana-Bread---Lightened-up---Spelt-_-Vegan-Food_com-155606",3,0,0,0.5,0,0.5,0,0.5,0,0,0,0,0,0
"Banana-Bread-Recipezaar_127",2,2,1.75,0.666666666667,0,0,0,2.75,0,0,0,0,0,0
"Banana-Bread-Recipezaar_124",1.5,2,2,0.75,0.5,1,2,0.5,0,0,0,0,0,0
"Banana-Bread-My-Recipes_1",4,1,0.5,0,0.125,1,0,1,0,0,0,0,0,1
"Banana-Tea-Bread-Recipezaar",2,2,1.25,0,0,1,1,0,0,0,0,0,0,0
"Double-Banana-Bread-Food_com-69548",1.5,2,1.5,0.5,0.5,0.5,0,2,0,0,0,0,0.25,0
"Honey-and-Whole-Wheat-Banana-Bread-Food_com-105326",4.5,4,0,0,0.5,0,2,0,0,0,0,0,0,0
"Cranky-Banana-Bread-Recipezaar",1,1,1,0,0.25,0,0,1,3,0,0.25,0,0,0
"Yummy-Banana-Bread-Recipezaar_3",2.33333333333,2,2,0,0.25,1,0,0,0.5,0,0,0,0,0
"Lower-Fat-Banana-Bread-I-Allrecipes",1,2,1.66666666667,0.666666666667,0.5,1,0,0.25,0,0,0,0,0.25,0
"Banana-Bread-_-Vegan-Recipezaar_1",1,0,2,1,0.5,1,1,0,0.5,0,0.25,0,0,0
"Cream-Cheese-Banana_cranberry-Bread-Recipezaar",2,2,1.5,1.5,0.5,0.5,0.5,0.5,0.75,0,0,0,0,1.5
"Jif-Banana-Bread-Recipezaar",1,1,2.5,0,1,0,0,3.5,0,0,0.75,0,0,0
"Best-Banana-Bread-Ever-Food_com-133256",3,4,3.25,2.33333333333,0.5,2,2,0,0,0.25,0,0,0,0
"Banana_date-Flax-Seed-Bread-Recipezaar",0.666666666667,2,1.5,0.5,0.5,0.5,0,0.5,0,0,0,0,0,0
"Banana-Chocolate-Oatmeal-Bread-RecipeZaar-59338",1.5,2,1.5,0.25,0.5,1,1,0,0.25,0,0,0.25,0,0
"Easy-Banana-Bread-Food_com-139066",1,0,2,1,0,0,0,2,0,0,0,0,0,0
"No-Sugar-Added-Peachy-Banana-Bread-Food_com-107587",2,1,1,0,0.25,0.5,0.5,0.25,0,0,0,0,0,0
"Yet---Another-Banana-Bread-Food_com-76851",1,2,1,0.75,0.5,1,0,1.5,0.333333333333,0,0.5,0,0,1
"Banana-_-Pumpkin-Bread-_-Nuwave-Oven-Recipezaar",3,2,0,0,0,0,0,0,0,0,1,0,0,0
"Cake-Mix-Banana-Bread-Recipezaar_1",3,3,0,0,0,0,0,0,0,0,0,0,0,0
"Best-Banana-Bread_-Recipezaar",1,2,1.5,1,0.5,1,1,0,0,0.5,0,0,0,0
"Bob_s-Red-Mill-Easy-Gluten-Free-Banana-Bread-Recipezaar",1.5,2,0,0,0.5,0,1,2,0,0,0,0,0,0
"Easy-Banana-Bread-Food_com-217997",1,1,2.5,1.25,1,0,0.25,3,0,0,0.75,0,0,0
"Raspberry-Banana-Bread-Recipezaar",1,2,1.75,1.5,1,1,0,0,0,0,0,0,0.333333333333,0
"Chocolate-Banana-Bread-Pudding-Recipezaar",2,4,0,1,0,0,1,0,0,0,2,0,0,0
"Chocolate-Banana-Bread-Recipezaar",2,1,0,0,0.5,0.5,0.5,0,0,0,2,0,0,0
"Amazing-Banana-Bread-Food_com-147234",3,2,2,0,0.5,1,1,1,0.5,0,0.333333333333,0,0,0
"Jan_s-Multi_bran-Peach_-Banana-Bread-Recipezaar",1,2,1.5,0.75,0,1,0,0,0,0,0,0,0,0
"Chocolate-Banana-Bread-Pudding-With-Marshmallows-Food_com-112652",0,3,0,1,0,0,2,0,0,0,0,0,0,0
"Alice_s-Banana-Bread-Recipe-Chow-57374",0,2,2,1,0.5,1,1,0,0.5,0,0,0,0,0
"Chocolate-Banana-Bread-Food_com-74775",1,2,2,1,1,1,1,0,0.5,0,0.25,0,0,0
"Chocolate-Chip-Banana-Bread-Recipezaar_5",1.5,2,1.75,0.5,0.25,1,0.5,0.5,0.5,0.5,0,0,0,0
"Banana-Plum-Bread-AllRecipes-40144",1.5,2,2.75,0.5,0,0.5,0,1.5,0,0,0,0,0,0
"Banana-Nut-Bread-Food_com-136126",1.25,1,2.5,0,1,0,0,3.5,0,0,0,0,0,0
"Marbled-_-Chocolate-Banana-Bread-Recipezaar",1.5,2,2,1,0.5,0.75,0,0,0.25,0.333333333333,0,0,0,0
"Delicious-Banana-Bread-Recipezaar",3,2,2,1,0.5,0.5,1,0.5,0.5,0,0,0,0,0
"Peanut-Butter-_-Chocolate-Chips-Banana-Bread-Recipezaar",3,2,1,0,0.5,1,1,0,0,0,0,0,0,1
"Dad_s-Famous-Banana-Bread-Food_com-168454",4,2,2,1,0,1,0,0,0,0,0,0,0,0
"Raised-Banana-Oatmeal-Bread-Recipezaar",2,0,0,0,1.5,0,0,0,0.25,0,0,1,0,0
"Cinnamon-Pumpkin-Banana-Bread-Recipezaar",2,2,0,0.75,0.25,0.5,1,1.5,0,0,0,0,0,2
"Banana-Bread-Pudding-from-Williams-Sonoma-Food_com-71123",2,4,0,0.5,0,0,0,0,0,0,0,0,0,0
"Blueberry-Banana-Bread-Or-Muffins-Recipezaar",3,2,1.5,0.333333333333,0.5,0,2,2,0,0,0,0,0,0
"Chocolate-Banana-Bread-Allrecipes_1",1,2,2,1,1,1,1,0,0.5,0,0.25,0,0,0
"Banana-Nut-Yeast-Bread-_bread-Machine_-Recipezaar",0.5,1,0,3,0.75,0,0,0,1,0,0.666666666667,0,0,0
"Bet-On-It-Banana-Bread-By-Marjie-Lapagna-Recipezaar",4,4,4,0,1,1,2,0,0,0,0,0.666666666667,0,0
"Mom_s-Banana-Bread-_goes-Fast_-Recipezaar",1,2,2,0.5,0.5,0.5,0,2,0.25,0,0,0,0,0
"Danish-Banana-Bread-Recipezaar",2,2,1.5,1,1,2,0.5,0,0,0,0,0,0,1.5
"Low-Fat-Banana-Nut-Bread-Food_com-68952",2,0,0,0,1,1,2,0,0,0,0,0,0,3
"Old-Fashioned-Banana-Bread-Pudding-Food_com-86916",1,3,0,2,0.25,0,2,0,3,0,0.75,0,0,0
"Easy-Banana-Bread-Recipezaar_5",3,1,1.5,0.75,1,1,1,0,0.333333333333,0,0,0,0,0
"Allie_s-Spicy-Banana-Bread-Recipezaar",1,2,2,1,0.5,1,1,0,0.5,0,0,0,0,0
"Easy-Banana-Bread-Recipezaar_6",2,1,2,0.5,0.5,1,0,0,0,0,0,0,0,0
"Banana-Bread-With-Splenda-Recipezaar",1,2,1.75,0,0.25,0.5,0,2,4,0,0,0,0,0
"Almost-No-Fat-Banana-Bread-Food_com-175689",4,1,3,1,1,1,1,2.5,0,0,0,0,0,0
"Easy-Banana-Bread-Recipezaar_2",2,4,3.5,3,1.5,1.5,1,1,0,0,0,0,0.666666666667,0
"Sweet-Banana-Bread-Allrecipes",1.33333333333,2,1.75,0.666666666667,0.75,0.5,0,1.25,0,0,2,0,0,0
"Banana-Nut-Bread-Food-Network-212387",5,2,1,0.5,0.25,0.5,0,1.5,5,0,0,0.25,0,0
"Banana-Bread-In-A-Jar-Recipezaar",2,4,3.5,2.66666666667,1,2,1,1,0,0,0,0.666666666667,0,0
"Nanna_s-Banana-Bread-Allrecipes",2,2,2,1,0.125,1,1,1,0,0,0,0.5,0,0
"Whole-Wheat-Honey-Banana-Bread-_for-Bread-Machine_-Recipezaar",2,1,1.5,0,0.5,0,0,0,1,0,0,0,0.666666666667,1.5
"Zucchini-Banana-Bread-Recipezaar_1",3,3,3.5,0,1,0,2,2,0,0,0,0,0,0
"Chocolate-Banana-Bread-MyRecipes-214531",0.75,2,0,0,0,1.5,0,2,0,0,0,0,0,0
"Peanut-Butter-_n_-Banana-Bread-Food_com-83389",2,1,2.5,0.5,0.75,0,1,1,2,0,1,0,0,0
"Banana-Bread-With-Chocolate-Chips-Food_com-79547",3,2,2,1,0.5,1,0,0,0.5,0,0,0,0,0
"Low-Fat-Soy-Banana-Bread-Recipezaar",4,1,0,0,0,1,0,1,0,0,0,0,0,0.5
"Sassy_s-Awesome-Banana-Bread-Recipezaar",2,4,1.5,1,1,0,1,4,0,0,0,0,0,2
"Mom_s-Banana-Bread-Recipezaar_14",1,2,1.5,1.25,0.25,1,1,0,0.5,4,0,0,0,0
"Mom_s-Apricot-Banana-Bread-Recipezaar",1,2,1.25,0.666666666667,0.5,0.5,0,1,0,0,0,0.25,0,0
"Lower-Calorie-Banana-Bread-Recipezaar",3,2,2,0,0.125,1,0,0,0.666666666667,0,0,0,0,0
"Banana-Carrot-Bread-Recipezaar_1",2,1,1,0,0.25,1,1.25,1,0,0,0,0,0,1
"Banana-Peach-Bread-Recipezaar",1,2,2,1.5,0.5,1,1,0.5,0,0,0,0,0,0
"Low-Fat-Double-Chocolate-Banana-Bread-Food_com-136778",4,4,1.5,1,1,2,2,0,0,0,0,0,0,1
"Double-Chocolate-Banana-Bread-Recipezaar_1",2,1,2,0,0.5,0.25,0,1,0,0,0,0,0,0
"Banana-Nut-Bread-Baked-In-A-Jar-Allrecipes",2,4,3.33333333333,2.66666666667,1.5,2,0,0.5,0,0,0,0,0.666666666667,0
"Banana-Nut-Bread-Baked-In-A-Jar-Recipezaar",2,4,3.33333333333,2.66666666667,1.5,2,0,0.5,0,0,0,0,0.666666666667,0
"Virginia_s-Banana-Bread-Recipezaar",2,2,2,1,0.25,1,1,0,0,0,0,0,1,0
"Oatmeal-Banana-Cinnamon-Bread-Allrecipes",0.75,0,0,1,1,0,1,0,0,0,0,0,0.5,0
"Whole-Grain-Kefir-Banana-Bread-Recipe-Chow-48325",3,0,0,0,0,2,0,2,0,0,0,0,0,0
"Rogene_s-Banana-Nut-Bread-_-See-Sharon_s-Note-Recipezaar",3,2,2,1,0.5,1,0,0,0.5,0,0,0,0,0
"Banana-Bread-Food_com-140496",3,2,3,2,0,1.5,0,0,0.5,0,0,0,0,0
"Chocolate-Banana-Bread-Food_com-73006",1,0.25,2,0.75,0.25,1,2,0,0,0,0,0.75,0,0
"Strawberry-Banana-Bread-Pudding-Food-Network",9,2,0,0,0,0,0,0,0,0,1.25,0,0,0
"Banana-Macadamia-Bread-Recipezaar",3,2,2,0,1,0,0,0,0,0,0,0,0,0
"Weight-Watchers-West-Indies-Banana-Bread-Recipezaar",3,1,2.5,0.5,0.5,0,1,1,0,0,0,0,0,0
"Banana-Nut-Bread-Food_com-111470",1,1,0.333333333333,0.666666666667,0,0,0,0,0,0,0.5,0,0,0
"Best-Vegan-Banana-Bread-Recipezaar",3,0,2,0.75,1,0,0,1,0,0,0,0,0,0
"_mom_s-Amazing-Banana-Bread_-Food_com-63059",3,2,2,0.5,0.25,1,0.5,0,0.5,0.25,0,0,0,0
"My-Mother_s-Banana-Bread-Recipezaar",1.5,2,2,1,0.5,1,0,1,0.5,0,0,0,0,0
"Banana-Pineapple-Cashew-Bread-Recipezaar",2,2,0.5,0,0.5,0.5,1,0.5,0,0,0,0,0,1
"Banana-Bread-French-Toast-MyRecipes-265455",0,2,0,0,0,0,2,0,1,0,1,0,0,0
"Mini-Banana-Breads-Recipezaar",1.5,2,2.5,1.25,1,1,1,0,0.5,0,0,0.5,0,0
"Coconut-Banana-Bread-Recipezaar_1",1.5,2,2,1,0,0.75,1,0.75,0.5,0,0,0,0,0
"Mel_s-Banana-Bread-Recipezaar",1,2,1.5,1.25,0,1,1,0,0,0.25,0,0,0,0
"Quick-Banana-Bread-Recipezaar_1",1,1,1.75,0.666666666667,0.5,0,0,2.25,0,0,0,0,0,0
"Low-Fat-Apple-Banana-Raisin-Bread-Recipezaar",3,0,2.5,0,0.5,1,1,2,0,0,0,0,0,0
"Gluten-Free-Banana-Bread-Recipe-Leite_s-Culinaria-45832",4,2,0,0,0,1,2,0,0.5,0,0,0.666666666667,0,0
"Banana-Nut-Bread-Food_com-94038",3,2,2,1,0.5,1,0.5,0.5,0,0,3,0,0,0
"Super-Antioxidant-Blueberry-Banana-Chocolate-Chip-Bread-Recipezaar",2,2,3,2,0.5,1.5,0.5,1.5,0.25,0,0,1.25,0,0
"Unique-and-Yummy-Banana-Crunch-Bread-Food_com-86754",1,2,2,3,1,0,1,2,0.25,0,0,0,0,0
"Banana_raisin-Whole-Wheat-Bread-Recipezaar",1.5,2,0,0,1,1,1,0,0,0,0,0,0,2.5
"The-Easiest-Bisquick-Banana-_nut-_-Bread-Recipezaar",1.33333333333,3,0,0.666666666667,0,0,0.5,0,0,0,0.25,0,0,0
"White-Chocolate-Chip-Cranberry-Banana-Bread-With-Coconut-Flour-Food_com-90497",2,0,2,0,0.5,0.5,1,1,0,0,0,0,0,0.5
"Caramel-Macchiato-Banana-Bread-AllRecipes-39674",2,2,2,0.666666666667,0.125,1,1,1,6,0,0,0,0,0
"Pumpkin-Banana-Cranberry-Bread-Recipezaar",3,2,3,0,1,1,1.5,1.5,0,0,0,0,0,0
"Banana-Oatmeal-Honey-Bread-Recipezaar",1,0,0.5,0,0.25,0.5,1,1.5,0,0,0,0,0,1
"Pineapple-Banana-Coconut-Bread-Food_com-71092",0.5,2,2,1,0.5,0.5,0,1,0.5,0,0,0,0,0
"Dee_s-Chocolate-Banana-Bread-Recipezaar",2,2,1.5,1.33333333333,0.5,1.5,0,1,0,0,0,0,0,0
"Easy-Homestyle-Banana-Bread-Recipezaar",3,2,1.25,0,0,1,1,0,0.5,0,0,0,0,0
"Buttery-Banana-Nut-Bread-Recipezaar",1,2,1.75,0.5,0,0.25,0,2,0.333333333333,0,0,0,0,0
"Pumpkin-Banana-Zucchini-Spice-Bread-Recipezaar",0,4,3,1.5,0,2,2,1,0.5,0,0.5,0,0,0
"Peanut-Butter-Cream-Cheese-Banana-Nut-Bread-_Healthier-Verison_-RecipeZaar-59706",1.5,2,0.25,0.25,0.5,0.5,0.5,0.5,0.25,0,0,1,0,0
"Macadamia-Banana-Bread-Recipezaar",1,2,0,0,0,0,1,0,0,0,0,0,0,0
"Simple-Banana-Bread-Recipezaar_2",5,3,2,1,0,1,0,0,0.5,0,0,0,0,0
"Better-Homes-and-Gardens-Banana-Bread-Food_com-94986",3,1,1.5,0.75,0.125,0.25,0,1.5,0,0,0,0,0,0
"Banana-Apple-Nut-Bread-Recipezaar",3,2,2,0.5,0.5,0,0.5,1,0.5,0,0.25,0,0,0
"Lemony-olive-oil-banana-bread-308645",1.5,2,1,0.75,0,0.75,1,0,0,0,0,0,0,1
"Delicious-And-Easy-Banana-Bread-Or-Muffins-Recipezaar",3,0,2,1,1,1,0,0,0.5,0,0,0,0,0
"Low-Calorie-Banana-Oatmeal-Bread-Recipezaar",4,1,2,0,0,1,0,2,0,0,0,0,0,2
"Banana-Bread-Sticks-Recipezaar",2,2,0,0,0,1,1,3.75,0,0,0,0,0,0
"Banana-Bread-_low-Fat_-Low-Sugar_-Whole-Wheat_-Recipezaar",2,2,0.75,0.333333333333,0.5,0.5,0,2,0,0,0,0,0,0.75
"Whole-Wheat-Healthy-Banana-Bread-Recipezaar",4,0,0,0,0,1,1,1,0.333333333333,0,0,0,0,1.5
"Banana-Farina-Bread-Recipezaar",1.5,2,0,0,0.5,0,0,4,0,0,0,0,1.5,0
"Simple-Vegan-Banana-Bread-Recipezaar",4,0,0,0.666666666667,0.5,0,1,1,0,0,0,0,4,2
"Mary-Ann_s-Banana-Bread-Recipezaar",3,2,2,1.5,0,1,0,0,0.5,0,0,0.5,0,0
"Low_fat-Full_flavor-Banana-Bread-Recipezaar",4,2,1.75,0.5,0.25,0.75,2,2,0,0,0,0,0,0
"Guatemalan-Banana-Bread-Recipezaar",4,0,3,0,0.5,0,0.5,2,0.5,0,0,0,0,0
"Maple-Syrup-Banana-Bread-RecipeZaar-60027",1,2,1.5,0.25,1,0.25,0,2,0,0,0,0,0,0
"Healthy-Wheat-Banana-Bread-Recipezaar",3,2,0,0,0.5,0.5,2,1,0,0,0.5,0,0,0
"Yeah_-But-My-Vegan-Banana-Bread-Has-No-Soy_-No-Margarine-Either-Recipezaar",2,0,2.5,1,1,1,1,0,0,0,0,0,0.5,0
"Banana-Brioche-Bread-Pudding-Food-Network-228158",3,3,0,0,0,0,0,0,0,0,0,0,0,0
"Mother_s-Banana-Nut-Bread-Recipezaar",1.5,1,2,1,0.5,0,0,2,0,0,0,2,0,0
"Super-Moist-Super-Easy-Banana-Bread-_-Oamc-Recipezaar",3,4,4,2,1,0,0.5,4,1,0,0,0,0,0
"Whole-Wheat-Banana-Bread-Recipezaar_2",3,2,1,1,0.5,1,0,0,0.5,0,0,0,0,1
"Kona-Inn-Banana-Bread-Recipezaar",2,4,2.5,2,1,2,0,0,0,0,0,0,0,0
"Gluten_free-Teff-Banana-Bread-_vegan-_-Soy_free_-Recipezaar",2,0,0,0,0,1,2,2,0,0,0,0,0,0
"Banana-Bread_-Muffins-Recipezaar",2,4,2.5,1,1,2,0,0,0,0,0,0,0,0
"Banana-Nut-And-Ginger-Bread-Allrecipes",1,2,3,0,1,2,1,0,0,0,0,0,0,0
"One-Pan-Banana-Bread-Recipezaar",1.5,3,0,1,0,0,0.5,0,0,0,0,0,0,0
"Banana-Bread-Recipezaar_113",1.5,2,2.25,0,1,1,1,1,0.5,0,0,0,0,0
"Banana-Bread-Recipezaar_111",3,1,2.5,1,1,0,0,3.5,0,0,0.75,0,0,0
"Banana-Bread-Recipezaar_110",3,2,0,1,0.5,1,0,0,0.5,0,0,0,0,0
"Banana-Bread-Recipezaar_116",1,2,2,1,1,0.5,0,1,0,0,0,0,0,0
"Banana-Bread-Recipezaar_115",3,2,2,0.75,0.5,0.25,0,2,0,0,0,0,0,0
"Banana-Bread-Recipezaar_114",0.75,2,1.25,1,0.5,1,0,0,0,0,0,0,0,0
"Banana-Bread-Recipezaar_119",1,2,1.75,0.666666666667,0.5,0.25,0,1,0.5,0,0,0,0,0
"Banana-Bread-Recipezaar_118",2,2,0,1,0,0,0,0,0,0,0,0,0,0
"Banana-Tea-Bread-Food_com-149132",3,2,2,1,0.25,1,1,0,0,0,0,0,0,0
"Healthy-But-Oh_so_damn_good-Banana-Bread-Recipezaar",3,2,1,0.5,0,1,1,0,0,0,0,0,0,0
"Spelt-Banana-Bread-Recipezaar",1,0,0.75,0.75,0.125,0.5,0,1.25,0,0,0,0,0,0
"Banana-Bread-With-Cashews-_pao-De-Banana_-_-Portuguese-Mozambiq-Recipezaar",1,3,2,1.33333333333,0.25,0.25,0.5,2,0.5,0,3,0,0,0
"Whipped-Up-Nutmeg-Banana-Bread-_eggless_-Recipezaar",1,0,0,0.666666666667,0,0.25,0,2,0,0,0,0,0,0
"Banana-Applesauce-Bread-Food_com-168753",2,2,1.5,1.5,0,1,0,0,0.5,0,4,0,0,0
"Banana-Bread-With-Protein-_Chickpeas_-Food_com-65799",2,2,1,0.25,0,1,0.5,0,0,0,0,0,0,0
"Coconut-Chocolate-Chip-Banana-Bread-Food_com-94368",1,2,1.5,1,0.5,0.5,0.5,1.5,0.5,0,0,0,0,0
"Pat_s-Cranberry-Banana-Bread-Recipezaar",2,2,1.5,1,0.5,0,0,0.5,0.25,0,0,0,0,0
"Barb_s-Banana-Nut-Bread-MyRecipes-242769",3,2,1,1,0.5,1,1,0,0,0,0,0,0,0
"Banana_nut-Bread-Recipezaar",0.75,2,3,1.5,0.5,0.5,0,2,0.75,0,0.25,0,0,0
"Healthier-Yogurt-Banana-Bread-Recipezaar",1,2,0.75,1,0.5,1,1.5,0,0,0,0,0,0,0.75
"Nana_s-Banana-Bread-Recipezaar_2",1,1,2,0.666666666667,0.5,0.5,0,1,0,0,3,0,0.333333333333,0
"Banana-Yogurt-Bread-Recipezaar",1,1,2,0.5,0.5,0.5,1,1.5,0,0,0,0,0,0
"Pomegranate_-Banana-And-Pistachio-Bread-Recipezaar",1,1,2,0.75,0.5,0,0,2.5,0,0,0.333333333333,0,0,0
"The-Best-Banana-Cake-_-Bread-Recipezaar",4,2,2,1.5,0,1,1,0,0,0,0,4,0,0
"Peanut-Butter-Banana-Bread-Recipezaar_3",1.5,1,1.5,0,0,1,0,0,0.5,0,0,0.25,0,0
"Eggless-Coffee-Banana-Bread-Food_com-137528",1,0,1.5,1,1,1,0.75,1,0.25,0,0,0,0,0
"Banana-Bread-from-the-New-York-Times-Natural-Foods-Cookbook-Food_com-147547",1.25,1,0.5,0,0,1,0,0,0,0,0,0.333333333333,0,1
"Moist-Banana-Bread-Recipezaar_2",3,2,2,1,0,0.5,0,1.5,0.5,1.5,0,0,0,0
"Banana_raisin-Oat-Bread-Recipezaar",1,1,0,0,2,0,0,0,3,0,0.666666666667,0,0,1
"Microwave-Banana-Bread-Pudding-Recipezaar",1,1,0,0,0,0,0.5,0,0,0,1,0,0,0
